level,mets,calories,active,sedentary
0,10,0.848399997,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
1,28,2.375519991,1,0
1,26,2.205840111,1,0
1,32,2.71487999,1,0
1,32,2.71487999,1,0
1,28,2.375519991,1,0
1,36,3.054239988,1,0
1,42,3.563280106,1,0
1,48,4.072319984,1,0
1,30,2.545200109,1,0
1,26,2.205840111,1,0
0,13,1.102920055,0,1
0,12,1.018079996,0,1
0,10,0.848399997,0,1
0,11,0.933239996,0,1
1,26,2.205840111,1,0
1,50,4.242000103,1,0
1,46,3.902640104,1,0
1,50,4.242000103,1,0
1,46,3.902640104,1,0
1,34,2.884560108,1,0
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
1,30,2.545200109,1,0
1,30,2.545200109,1,0
1,40,3.393599987,1,0
2,52,4.411680222,0,0
2,58,4.9207201,0,0
2,46,3.902640104,0,0
2,50,4.242000103,0,0
2,50,4.242000103,0,0
2,54,4.581359863,0,0
2,56,4.751039982,0,0
2,54,4.581359863,0,0
2,54,4.581359863,0,0
2,54,4.581359863,0,0
2,54,4.581359863,0,0
2,56,4.751039982,0,0
2,54,4.581359863,0,0
2,50,4.242000103,0,0
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,12,1.018079996,0,1
0,13,1.102920055,0,1
0,12,1.018079996,0,1
0,13,1.102920055,0,1
1,28,2.375519991,1,0
1,46,3.902640104,1,0
1,32,2.71487999,1,0
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
1,28,2.375519991,1,0
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
1,24,2.036159992,1,0
1,26,2.205840111,1,0
0,11,0.933239996,0,1
0,10,0.848399997,0,1
0,11,0.933239996,0,1
0,12,1.018079996,0,1
1,24,2.036159992,1,0
1,26,2.205840111,1,0
1,30,2.545200109,1,0
0,13,1.102920055,0,1
1,32,2.71487999,1,0
0,13,1.102920055,0,1
1,25,2.121000051,1,0
1,34,2.884560108,1,0
1,27,2.290679932,1,0
1,34,2.884560108,1,0
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
1,38,3.223920107,1,0
1,42,3.563280106,1,0
1,35,2.969399929,1,0
1,31,2.63003993,1,0
1,37,3.139080048,1,0
0,13,1.102920055,0,1
1,32,2.71487999,1,0
1,30,2.545200109,1,0
0,11,0.933239996,0,1
1,30,2.545200109,1,0
0,11,0.933239996,0,1
0,12,1.018079996,0,1
0,12,1.018079996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
1,26,2.205840111,1,0
1,30,2.545200109,1,0
0,13,1.102920055,0,1
0,13,1.102920055,0,1
1,30,2.545200109,1,0
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,12,1.018079996,0,1
0,12,1.018079996,0,1
0,13,1.102920055,0,1
0,12,1.018079996,0,1
0,13,1.102920055,0,1
0,12,1.018079996,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,11,0.933239996,0,1
1,32,2.71487999,1,0
1,48,4.072319984,1,0
1,46,3.902640104,1,0
1,46,3.902640104,1,0
1,50,4.242000103,1,0
1,34,2.884560108,1,0
0,13,1.102920055,0,1
0,13,1.102920055,0,1
1,50,4.242000103,1,0
0,12,1.018079996,0,1
1,30,2.545200109,1,0
1,30,2.545200109,1,0
1,30,2.545200109,1,0
1,29,2.46036005,1,0
1,42,3.563280106,1,0
1,42,3.563280106,1,0
1,33,2.799720049,1,0
1,42,3.563280106,1,0
1,31,2.63003993,1,0
1,34,2.884560108,1,0
0,12,1.018079996,0,1
0,12,1.018079996,0,1
1,27,2.290679932,1,0
1,27,2.290679932,1,0
1,29,2.46036005,1,0
1,31,2.63003993,1,0
1,32,2.71487999,1,0
1,40,3.393599987,1,0
1,30,2.545200109,1,0
1,48,4.072319984,1,0
1,56,4.751039982,1,0
1,60,5.090400219,1,0
1,62,5.260079861,1,0
1,64,5.429759979,1,0
1,58,4.9207201,1,0
1,42,3.563280106,1,0
1,40,3.393599987,1,0
1,33,2.799720049,1,0
1,35,2.969399929,1,0
1,34,2.884560108,1,0
1,35,2.969399929,1,0
1,31,2.63003993,1,0
1,38,3.223920107,1,0
1,50,4.242000103,1,0
1,56,4.751039982,1,0
1,54,4.581359863,1,0
1,46,3.902640104,1,0
1,42,3.563280106,1,0
1,50,4.242000103,1,0
1,56,4.751039982,1,0
1,38,3.223920107,1,0
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
1,24,2.036159992,1,0
1,26,2.205840111,1,0
0,11,0.933239996,0,1
0,10,0.848399997,0,1
0,11,0.933239996,0,1
0,12,1.018079996,0,1
1,24,2.036159992,1,0
1,26,2.205840111,1,0
1,30,2.545200109,1,0
0,13,1.102920055,0,1
1,32,2.71487999,1,0
0,13,1.102920055,0,1
1,25,2.121000051,1,0
1,34,2.884560108,1,0
1,27,2.290679932,1,0
1,34,2.884560108,1,0
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
1,38,3.223920107,1,0
1,42,3.563280106,1,0
1,35,2.969399929,1,0
1,31,2.63003993,1,0
1,37,3.139080048,1,0
0,13,1.102920055,0,1
1,32,2.71487999,1,0
1,30,2.545200109,1,0
0,11,0.933239996,0,1
1,30,2.545200109,1,0
0,11,0.933239996,0,1
0,12,1.018079996,0,1
0,12,1.018079996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
0,11,0.933239996,0,1
1,26,2.205840111,1,0
1,30,2.545200109,1,0
0,13,1.102920055,0,1
0,13,1.102920055,0,1
1,30,2.545200109,1,0
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,12,1.018079996,0,1
0,12,1.018079996,0,1
0,13,1.102920055,0,1
0,12,1.018079996,0,1
0,13,1.102920055,0,1
0,12,1.018079996,0,1
0,13,1.102920055,0,1
0,13,1.102920055,0,1
0,11,0.933239996,0,1
1,32,2.71487999,1,0
1,48,4.072319984,1,0
1,46,3.902640104,1,0
1,46,3.902640104,1,0
1,50,4.242000103,1,0
1,34,2.884560108,1,0
0,13,1.102920055,0,1
0,13,1.102920055,0,1
1,50,4.242000103,1,0
0,12,1.018079996,0,1
1,30,2.545200109,1,0
1,30,2.545200109,1,0
1,30,2.545200109,1,0
1,29,2.46036005,1,0
1,42,3.563280106,1,0
1,42,3.563280106,1,0
1,33,2.799720049,1,0
1,42,3.563280106,1,0
1,31,2.63003993,1,0
1,34,2.884560108,1,0
0,12,1.018079996,0,1
0,12,1.018079996,0,1
1,27,2.290679932,1,0
1,27,2.290679932,1,0
1,29,2.46036005,1,0
1,31,2.63003993,1,0
1,32,2.71487999,1,0
1,40,3.393599987,1,0
1,30,2.545200109,1,0
1,48,4.072319984,1,0
1,56,4.751039982,1,0
1,60,5.090400219,1,0
1,62,5.260079861,1,0
1,64,5.429759979,1,0
1,58,4.9207201,1,0
1,42,3.563280106,1,0
1,40,3.393599987,1,0
1,33,2.799720049,1,0
1,35,2.969399929,1,0
1,34,2.884560108,1,0
1,35,2.969399929,1,0
1,31,2.63003993,1,0
1,38,3.223920107,1,0
1,50,4.242000103,1,0
1,56,4.751039982,1,0
1,54,4.581359863,1,0
1,46,3.902640104,1,0
1,42,3.563280106,1,0
1,50,4.242000103,1,0
1,56,4.751039982,1,0
1,38,3.223920107,1,0
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
0,10,0.848399997,0,1
