,time,value
1,03:38:44,70
2,03:38:50,70
3,03:39:01,70
4,03:39:07,70
5,03:39:22,85
6,03:39:27,85
7,03:39:42,86
8,03:39:47,86
9,03:39:57,85
10,03:40:02,86
11,03:40:07,84
12,03:40:12,83
13,03:40:27,84
14,03:40:37,85
15,03:40:52,84
16,03:40:57,83
17,03:41:02,82
18,03:41:07,85
19,03:41:22,85
20,03:41:27,84
21,03:41:42,85
22,03:41:47,87
23,03:41:57,88
24,03:42:02,88
25,03:42:07,87
26,03:42:12,83
27,03:42:17,81
28,03:42:22,83
29,03:42:27,85
30,03:42:42,87
31,03:42:47,83
32,03:42:52,84
33,03:43:02,86
34,03:43:07,83
35,03:43:17,84
36,03:43:32,86
37,03:43:43,86
38,03:43:58,84
39,03:44:03,83
40,03:44:18,83
41,03:44:33,83
42,03:44:43,85
43,03:44:58,85
44,03:45:08,87
45,03:45:13,88
46,03:45:18,87
47,03:45:23,86
48,03:45:28,82
49,03:45:43,84
50,03:45:48,84
51,03:45:58,85
52,03:46:08,86
53,03:46:18,87
54,03:46:23,85
55,03:46:28,86
56,03:46:33,87
57,03:46:38,86
58,03:46:43,84
59,03:46:48,83
60,03:46:53,84
61,03:46:58,85
62,03:47:03,86
63,03:47:13,84
64,03:47:18,86
65,03:47:33,87
66,03:47:48,86
67,03:47:58,87
68,03:48:08,87
69,03:48:13,88
70,03:48:18,86
71,03:48:23,83
72,03:48:28,82
73,03:48:33,83
74,03:48:38,85
75,03:48:53,82
76,03:48:58,78
77,03:49:03,79
78,03:49:08,78
79,03:49:13,80
80,03:49:23,81
81,03:49:28,81
82,03:49:43,82
83,03:49:48,83
84,03:49:53,82
85,03:49:58,79
86,03:50:03,81
87,03:50:08,83
88,03:50:13,84
89,03:50:18,83
90,03:50:33,84
91,03:50:38,85
92,03:50:43,86
93,03:50:48,87
94,03:50:53,88
95,03:50:58,87
96,03:51:03,86
97,03:51:08,85
98,03:51:13,89
99,03:51:23,85
100,03:51:28,82
101,03:51:33,80
102,03:51:38,81
103,03:51:43,83
104,03:51:48,82
105,03:51:53,83
106,03:51:58,85
107,03:52:03,87
108,03:52:08,87
109,03:52:13,88
110,03:52:28,86
111,03:52:33,83
112,03:52:43,85
113,03:52:48,85
114,03:52:53,86
115,03:52:58,87
116,03:53:03,88
117,03:53:08,87
118,03:53:13,85
119,03:53:18,87
120,03:53:23,88
121,03:53:28,87
122,03:53:38,86
123,03:53:43,83
124,03:53:53,83
125,03:54:08,83
126,03:54:23,83
127,03:54:28,83
128,03:54:33,83
129,03:54:43,83
130,03:54:48,82
131,03:54:53,82
132,03:54:58,82
133,03:55:03,88
134,03:55:08,89
135,03:55:13,88
136,03:55:23,90
137,03:55:28,89
138,03:55:33,86
139,03:55:43,87
140,03:55:58,88
141,03:56:13,88
142,03:56:18,86
143,03:56:28,84
144,03:56:33,83
145,03:56:38,83
146,03:56:43,86
147,03:56:48,85
148,03:56:53,85
149,03:57:08,85
150,03:57:13,86
151,03:57:23,87
152,03:57:28,88
153,03:57:43,88
154,03:57:58,87
155,03:58:13,90
156,03:58:18,88
157,03:58:23,87
158,03:58:38,86
159,03:58:43,85
160,03:58:48,85
161,03:58:53,86
162,03:59:08,86
163,03:59:18,90
164,03:59:23,89
165,03:59:38,87
166,03:59:43,84
167,03:59:48,85
168,03:59:53,84
169,03:59:58,81
170,04:00:03,82
171,04:00:08,83
172,04:00:13,82
173,04:00:18,83
174,04:00:23,84
175,04:00:38,84
176,04:00:53,85
177,04:01:08,86
178,04:01:13,89
179,04:01:23,90
180,04:01:38,90
181,04:01:53,90
182,04:01:58,91
183,04:02:13,89
184,04:02:18,88
185,04:02:28,89
186,04:02:43,88
187,04:02:48,90
188,04:02:53,89
189,04:02:58,87
190,04:03:03,85
191,04:03:08,88
192,04:03:13,89
193,04:03:18,87
194,04:03:23,87
195,04:03:28,88
196,04:03:33,89
197,04:03:38,94
198,04:03:48,95
199,04:03:53,95
200,04:04:08,95
201,04:04:18,94
202,04:04:23,95
203,04:04:28,94
204,04:04:33,94
205,04:04:48,93
206,04:04:53,92
207,04:05:03,93
208,04:05:18,93
209,04:05:23,91
210,04:05:38,91
211,04:05:53,91
212,04:05:58,92
213,04:06:03,95
214,04:06:08,96
215,04:06:18,87
216,04:06:23,86
217,04:06:38,87
218,04:06:43,88
219,04:06:48,86
220,04:06:53,82
221,04:06:58,85
222,04:07:03,82
223,04:07:13,79
224,04:07:18,79
225,04:07:23,80
226,04:07:38,81
227,04:07:43,82
228,04:07:48,83
229,04:07:53,84
230,04:07:58,85
231,04:08:03,86
232,04:08:08,87
233,04:08:13,87
234,04:08:23,88
235,04:08:33,89
236,04:08:38,85
237,04:08:43,85
238,04:08:53,83
239,04:08:58,84
240,04:09:03,85
241,04:09:08,86
242,04:09:13,87
243,04:09:18,87
244,04:09:23,85
245,04:09:28,84
246,04:09:33,90
247,04:09:48,90
248,04:09:53,90
249,04:09:58,87
250,04:10:13,88
251,04:10:18,91
252,04:10:23,94
253,04:10:38,94
254,04:10:48,94
255,04:11:03,94
256,04:11:18,93
257,04:11:33,93
258,04:11:38,94
259,04:11:43,92
260,04:11:48,82
261,04:11:53,84
262,04:11:58,85
263,04:12:03,86
264,04:12:08,84
265,04:12:23,84
266,04:12:38,84
267,04:12:43,83
268,04:12:48,83
269,04:13:03,83
270,04:13:18,83
271,04:13:23,83
272,04:13:28,82
273,04:13:38,82
274,04:13:43,82
275,04:13:58,82
276,04:14:13,83
277,04:14:18,84
278,04:14:23,83
279,04:14:33,81
280,04:14:43,82
281,04:14:48,83
282,04:14:53,83
283,04:15:08,83
284,04:15:23,84
285,04:15:28,85
286,04:15:43,84
287,04:15:58,85
288,04:16:08,84
289,04:16:23,84
290,04:16:38,83
291,04:16:43,85
292,04:16:48,86
293,04:16:53,87
294,04:17:03,81
295,04:17:08,79
296,04:17:18,80
297,04:17:23,84
298,04:17:28,85
299,04:17:38,84
300,04:17:48,84
301,04:17:58,86
302,04:18:03,90
303,04:18:08,89
304,04:18:13,88
305,04:18:18,88
306,04:18:33,88
307,04:18:48,89
308,04:18:53,90
309,04:18:58,91
310,04:19:08,88
311,04:19:18,87
312,04:19:23,86
313,04:19:38,85
314,04:19:48,87
315,04:20:03,88
316,04:20:18,90
317,04:20:23,91
318,04:20:28,89
319,04:20:33,87
320,04:20:38,85
321,04:20:53,86
322,04:21:08,87
323,04:21:18,85
324,04:21:23,84
325,04:21:38,84
326,04:21:43,85
327,04:21:48,90
328,04:21:58,89
329,04:22:13,92
330,04:22:18,90
331,04:22:23,89
332,04:22:28,88
333,04:22:33,86
334,04:22:38,87
335,04:22:43,90
336,04:22:53,88
337,04:22:58,85
338,04:23:08,84
339,04:23:13,84
340,04:23:18,86
341,04:23:23,87
342,04:23:28,86
343,04:23:33,85
344,04:23:38,84
345,04:23:53,85
346,04:23:58,88
347,04:24:03,91
348,04:24:18,91
349,04:24:23,93
350,04:24:28,92
351,04:24:33,91
352,04:24:38,90
353,04:24:43,91
354,04:24:48,87
355,04:24:53,88
356,04:24:58,87
357,04:25:03,83
358,04:25:08,82
359,04:25:13,83
360,04:25:18,85
361,04:25:23,88
362,04:25:28,87
363,04:25:33,88
364,04:25:43,89
365,04:25:48,90
366,04:25:53,89
367,04:26:03,88
368,04:26:08,89
369,04:26:23,89
370,04:26:28,88
371,04:26:38,89
372,04:26:53,89
373,04:27:03,88
374,04:27:13,86
375,04:27:18,80
376,04:27:33,82
377,04:27:38,84
378,04:27:43,85
379,04:27:48,85
380,04:27:53,86
381,04:27:58,85
382,04:28:13,85
383,04:28:23,86
384,04:28:28,85
385,04:28:33,84
386,04:28:38,84
387,04:28:43,86
388,04:28:48,86
389,04:28:53,85
390,04:28:58,85
391,04:29:03,86
392,04:29:08,86
393,04:29:18,85
394,04:29:23,83
395,04:29:28,84
396,04:29:38,82
397,04:29:43,83
398,04:29:48,84
399,04:29:58,85
400,04:30:03,87
401,04:30:08,88
402,04:30:13,89
403,04:30:23,90
404,04:30:28,90
405,04:30:33,88
406,04:30:48,90
407,04:30:53,89
408,04:30:58,90
409,04:31:03,87
410,04:31:18,87
411,04:31:23,81
412,04:31:38,81
413,04:31:43,82
414,04:31:53,84
415,04:31:58,85
416,04:32:08,86
417,04:32:23,86
418,04:32:28,87
419,04:32:43,86
420,04:32:53,85
421,04:32:58,84
422,04:33:03,82
423,04:33:08,81
424,04:33:13,80
425,04:33:18,79
426,04:33:23,80
427,04:33:28,78
428,04:33:38,79
429,04:33:43,82
430,04:33:48,84
431,04:33:53,86
432,04:34:08,86
433,04:34:13,87
434,04:34:18,88
435,04:34:28,89
436,04:34:33,90
437,04:34:38,89
438,04:34:53,89
439,04:35:08,89
440,04:35:13,88
441,04:35:18,87
442,04:35:33,87
443,04:35:43,88
444,04:35:58,88
445,04:36:03,90
446,04:36:13,91
447,04:36:23,90
448,04:36:28,88
449,04:36:33,87
450,04:36:43,86
451,04:36:53,85
452,04:37:08,85
453,04:37:13,86
454,04:37:23,87
455,04:37:28,87
456,04:37:43,87
457,04:37:48,88
458,04:37:53,89
459,04:37:58,92
460,04:38:05,91
461,04:38:21,91
462,04:38:26,90
463,04:38:41,89
464,04:38:46,91
465,04:38:56,91
466,04:39:01,92
467,04:39:06,94
468,04:39:11,96
469,04:39:16,97
470,04:39:21,96
471,04:39:26,95
472,04:39:31,96
473,04:39:36,97
474,04:39:46,97
475,04:39:51,95
476,04:39:56,94
