,level,mets,time,value
122,0,10,02:02:00,0.8483999967575073
123,0,10,02:03:00,0.8483999967575073
124,0,10,02:04:00,0.8483999967575073
125,0,10,02:05:00,0.8483999967575073
126,0,10,02:06:00,0.8483999967575073
127,0,10,02:07:00,0.8483999967575073
128,0,10,02:08:00,0.8483999967575073
129,0,10,02:09:00,0.8483999967575073
130,0,10,02:10:00,0.8483999967575073
131,0,10,02:11:00,0.8483999967575073
132,0,10,02:12:00,0.8483999967575073
133,0,10,02:13:00,0.8483999967575073
134,0,10,02:14:00,0.8483999967575073
135,0,10,02:15:00,0.8483999967575073
136,0,10,02:16:00,0.8483999967575073
137,0,10,02:17:00,0.8483999967575073
138,0,10,02:18:00,0.8483999967575073
139,0,10,02:19:00,0.8483999967575073
140,0,10,02:20:00,0.8483999967575073
141,0,10,02:21:00,0.8483999967575073
142,0,10,02:22:00,0.8483999967575073
143,0,10,02:23:00,0.8483999967575073
144,0,10,02:24:00,0.8483999967575073
145,0,10,02:25:00,0.8483999967575073
146,0,10,02:26:00,0.8483999967575073
147,0,10,02:27:00,0.8483999967575073
148,0,10,02:28:00,0.8483999967575073
149,0,10,02:29:00,0.8483999967575073
150,0,10,02:30:00,0.8483999967575073
151,0,10,02:31:00,0.8483999967575073
152,0,10,02:32:00,0.8483999967575073
153,0,10,02:33:00,0.8483999967575073
154,0,10,02:34:00,0.8483999967575073
155,0,10,02:35:00,0.8483999967575073
156,0,10,02:36:00,0.8483999967575073
157,0,10,02:37:00,0.8483999967575073
158,0,10,02:38:00,0.8483999967575073
159,0,10,02:39:00,0.8483999967575073
160,0,10,02:40:00,0.8483999967575073
161,0,10,02:41:00,0.8483999967575073
162,0,10,02:42:00,0.8483999967575073
163,0,10,02:43:00,0.8483999967575073
164,0,10,02:44:00,0.8483999967575073
165,0,10,02:45:00,0.8483999967575073
166,0,10,02:46:00,0.8483999967575073
167,0,10,02:47:00,0.8483999967575073
168,0,10,02:48:00,0.8483999967575073
169,0,10,02:49:00,0.8483999967575073
170,0,10,02:50:00,0.8483999967575073
171,0,10,02:51:00,0.8483999967575073
172,0,10,02:52:00,0.8483999967575073
173,0,10,02:53:00,0.8483999967575073
174,0,10,02:54:00,0.8483999967575073
175,0,10,02:55:00,0.8483999967575073
176,0,10,02:56:00,0.8483999967575073
177,0,10,02:57:00,0.8483999967575073
178,0,10,02:58:00,0.8483999967575073
179,0,10,02:59:00,0.8483999967575073
180,0,10,03:00:00,0.8483999967575073
181,0,10,03:01:00,0.8483999967575073
182,0,10,03:02:00,0.8483999967575073
183,0,10,03:03:00,0.8483999967575073
184,0,10,03:04:00,0.8483999967575073
185,0,10,03:05:00,0.8483999967575073
186,0,10,03:06:00,0.8483999967575073
187,0,10,03:07:00,0.8483999967575073
188,0,10,03:08:00,0.8483999967575073
189,0,10,03:09:00,0.8483999967575073
190,0,10,03:10:00,0.8483999967575073
191,0,10,03:11:00,0.8483999967575073
192,0,10,03:12:00,0.8483999967575073
193,0,10,03:13:00,0.8483999967575073
194,0,10,03:14:00,0.8483999967575073
195,0,10,03:15:00,0.8483999967575073
196,0,10,03:16:00,0.8483999967575073
197,0,10,03:17:00,0.8483999967575073
198,0,10,03:18:00,0.8483999967575073
199,0,10,03:19:00,0.8483999967575073
200,0,10,03:20:00,0.8483999967575073
201,0,10,03:21:00,0.8483999967575073
202,0,10,03:22:00,0.8483999967575073
203,0,10,03:23:00,0.8483999967575073
204,0,10,03:24:00,0.8483999967575073
205,0,10,03:25:00,0.8483999967575073
206,0,10,03:26:00,0.8483999967575073
207,0,10,03:27:00,0.8483999967575073
208,0,10,03:28:00,0.8483999967575073
209,0,10,03:29:00,0.8483999967575073
210,0,10,03:30:00,0.8483999967575073
211,0,10,03:31:00,0.8483999967575073
212,0,11,03:32:00,0.9332399964332581
213,0,10,03:33:00,0.8483999967575073
214,0,10,03:34:00,0.8483999967575073
215,0,10,03:35:00,0.8483999967575073
216,0,10,03:36:00,0.8483999967575073
217,0,10,03:37:00,0.8483999967575073
218,0,11,03:38:00,0.9332399964332581
219,0,11,03:39:00,0.9332399964332581
220,0,10,03:40:00,0.8483999967575073
221,0,11,03:41:00,0.9332399964332581
222,0,10,03:42:00,0.8483999967575073
223,0,10,03:43:00,0.8483999967575073
224,0,11,03:44:00,0.9332399964332581
225,0,10,03:45:00,0.8483999967575073
226,0,10,03:46:00,0.8483999967575073
227,0,10,03:47:00,0.8483999967575073
228,0,10,03:48:00,0.8483999967575073
229,0,10,03:49:00,0.8483999967575073
230,0,10,03:50:00,0.8483999967575073
231,0,10,03:51:00,0.8483999967575073
232,0,11,03:52:00,0.9332399964332581
233,0,10,03:53:00,0.8483999967575073
234,1,26,03:54:00,2.2058401107788086
235,0,10,03:55:00,0.8483999967575073
236,0,10,03:56:00,0.8483999967575073
237,0,11,03:57:00,0.9332399964332581
238,0,10,03:58:00,0.8483999967575073
239,0,10,03:59:00,0.8483999967575073
240,0,11,04:00:00,0.9332399964332581
241,0,13,04:01:00,1.1029200553894043
242,0,12,04:02:00,1.0180799961090088
243,0,13,04:03:00,1.1029200553894043
244,0,13,04:04:00,1.1029200553894043
245,0,13,04:05:00,1.1029200553894043
246,0,11,04:06:00,0.9332399964332581
247,0,10,04:07:00,0.8483999967575073
248,0,10,04:08:00,0.8483999967575073
249,0,10,04:09:00,0.8483999967575073
250,0,13,04:10:00,1.1029200553894043
251,0,13,04:11:00,1.1029200553894043
252,0,11,04:12:00,0.9332399964332581
253,0,10,04:13:00,0.8483999967575073
254,0,11,04:14:00,0.9332399964332581
255,0,11,04:15:00,0.9332399964332581
256,0,11,04:16:00,0.9332399964332581
257,0,10,04:17:00,0.8483999967575073
258,0,11,04:18:00,0.9332399964332581
259,0,11,04:19:00,0.9332399964332581
260,0,10,04:20:00,0.8483999967575073
261,0,10,04:21:00,0.8483999967575073
262,0,10,04:22:00,0.8483999967575073
263,0,10,04:23:00,0.8483999967575073
264,0,12,04:24:00,1.0180799961090088
265,0,10,04:25:00,0.8483999967575073
266,0,11,04:26:00,0.9332399964332581
267,0,10,04:27:00,0.8483999967575073
268,0,11,04:28:00,0.9332399964332581
269,0,10,04:29:00,0.8483999967575073
270,0,12,04:30:00,1.0180799961090088
271,0,10,04:31:00,0.8483999967575073
272,0,11,04:32:00,0.9332399964332581
273,0,10,04:33:00,0.8483999967575073
274,0,11,04:34:00,0.9332399964332581
275,0,11,04:35:00,0.9332399964332581
276,0,11,04:36:00,0.9332399964332581
277,1,40,04:37:00,3.3935999870300293
278,1,36,04:38:00,3.0542399883270264
279,0,13,04:39:00,1.1029200553894043
280,0,13,04:40:00,1.1029200553894043
